,token_id,gloss,utterance_id,utterance_gloss,clan_part_of_speech,utterance_id,spacy_part_of_speech,spacy_part_of_speech-2,CORRECT,CORRECT-2,CORRECT-3,SPACY_MATCH,CLAN_MATCH,,comment
30,64957042,ceux,17866320,tout ceux qui qui ont du tu vois là on dirait du ciel,PRON,17866320,PRON,PRON,PRON,,,,,,
31,64952620,lui,17850315,ah lui il peut aller ici,PART,17850315,PRON,PRON,PRON,,,,No match,,
32,65925602,que,18107197,mais l'autre on peut pas parce que il est en verre Théophile s'il tombe ça va ça va xxx,PRON,18107197,SCONJ,SCONJ,SCONJ,,,,No match,,pro=sconj
33,65195600,encore,17929744,tu veux encore du fromage Madeleine,ADV,17929744,ADV,ADV,ADV,,,,,,
34,64909601,c'est,17841794,c'est toi qui l'as cassée,VERB,17841794,PRON,PRON,PRON_VERB,,,No match,No match,,"RECURRENT ERROR: ""c'est"" is parsed as verb (1st half) by clan and as pronoun (2nd half) by spacy. Spacy would be more accurate if it received tokens with space before the  ' ."
35,65010719,ça,17879650,à quoi ça sert ce-qui a devant l'éléphant là hein,PRON,17879650,PRON,PRON,PRON,,,,,,
36,65214554,neuf,17922346,euh vingt neuf trente trente et un trente deux trente trois,ADJ,17922346,ADJ,ADJ,ADJ,,,,,,
37,65142789,cela,17918766,oh cela dit tu as un peu de retard,VERB,17918766,PRON,PRON,PRON,,,,No match,,clan: pronoun as verb
38,65275873,doué,17950198,t'es doué hein,ADJ,17950198,X,X,ADJ,PART,,No match,,,spacy: unrecognized word
39,65258456,en_bas,17940278,poule en_haut poule en_bas poule pond guère,ADV,17940278,PUNCT,PUNCT,ADV,,,No match,,,spacy: punctuation does not exist
40,65572091,via,18022058,il était rattaché directement via Nissan,PREP,18022058,ADP,PREP,ADP,PREP,,,,,LABEL MISMATCHING : PREP vs ADP
41,65496580,à,17997611,on va faire une voiture à l'ancienne,PREP,17997611,ADP,PREP,ADP,PREP,,,,,
42,64728144,lancé,17808446,comme Azur et Asmar vous vous êtes lancé de la terre,PART,17808446,VERB,VERB,VERB,PART,,,,,
43,64872875,comment,17843003,oui ça s'appelle comment,NOUN,17843003,ADV,ADV,ADV,PRON,,,No match,,
44,64799371,là,17827851,tu es pas gentil là hein,ADV,17827851,ADV,ADV,ADV,,,,,,
45,65796722,sauf,18087833,sauf que ça pousse très vite,PREP,18087833,ADP,PREP,ADP,PREP,,,,,
46,65003525,tu,17878139,pourquoi tu voies un voleur,PART,17878139,PRON,PRON,PRON,,,,No match,,
47,65212186,gommettes,17924639,et après tu sais comment on fait pour les gommettes hein,NOUN,17924639,NOUN,NOUN,NOUN,,,,,,
48,65501167,pleurer,17996083,faut faut me regarder parce que si on me regarde pas hum je vais pleurer,VERB,17996083,VERB,VERB,VERB,,,,,,
49,64675574,référence,17799610,j'ai pas encore trouvé les piles xxx j'ai pas encore trouvé les piles qui vont avec faut que je reprenne la référence,NOUN,17799610,NOUN,NOUN,NOUN,,,,,,
50,65374541,moyennement,17969600,avec des freins ça marche moyennement avec les pieds plutôt,ADV,17969600,VERB,VERB,ADV,,,No match,,,
51,64715261,petit,17788581,d'accord parce que celui-là il est vraiment petit tu m'en fais un moyen,ADJ,17788581,ADJ,ADJ,ADJ,,,,,,
52,65722140,avez,18070622,vous avez appris une chanson ce matin,VERB,18070622,AUX,AUX,AUX,VERB,,,,,LABEL MISMATCHING : V vs AUX (spacy is more precise here)
53,65313212,j'en,17960828,j'en remets,PRON,17960828,PRON,PRON,PRON_PRON,,,No match,No match,,
54,64724861,débarbouille,17798500,Emma se débarbouille sans rien dire mais juste avant de partir elle glisse dans son sac à trésors du rouge à lèvre des barrettes et des chouchous,VERB,17798500,VERB,VERB,VERB,,,,,,
55,64897731,attends,17853130,oui attends mon chéri maman,VERB,17853130,VERB,VERB,VERB,,,,,,
56,64860183,cuillère,17845329,du coup à défaut d' une tête on met une cuillère,NOUN,17845329,NOUN,NOUN,NOUN,,,,,,
57,64722945,suffisamment,17798197,mais tu vas avoir quelqu'un pour garder les enfants suffisamment longtemps,ADV,17798197,ADV,ADV,ADV,,,,,,
58,65521891,Madeleine,18003741,première composition de Madeleine,NOUN,18003741,NOUN,NOUN,NOUN,,,,,,
59,65335981,jusque,17955075,et après il yyy je l'attends jusque qu'il arrive qu'il arrive,PREP,17955075,VERB,VERB,ADP,PREP,,No match,,,
60,65456319,à,17991912,hop et toi je te donne à manger,PREP,17991912,ADP,ADP,ADP,PREP,,,,,
61,65028981,centimètres,17880930,ah oui et montre montre je vais xxx calculer combien ta main elle fait de centimètres,NOUN,17880930,NOUN,NOUN,NOUN,,,,,,
62,65580100,persistante,18023378,je la trouve très persistante moi,ADJ,18023378,ADJ,ADJ,ADJ,,,,,,
63,65714720,allé,18053945,j'ai allé alors alors j'ai allé euh un une une mini fois,PART,18053945,VERB,VERB,VERB,PART,,,,,
64,65833031,pas,18092697,tu disais pas ça y a quatre jours quoi,ADV,18092697,ADV,ADV,ADV,,,,,,
65,64746747,dessus,17813329,et tu as fait quoi tu as sauté dessus,ADV,17813329,ADV,ADV,ADV,,,,,,
66,64730690,sûrement,17804876,je vais sûrement la trouver dans le coffre de l'auto,ADV,17804876,ADV,ADV,ADV,,,,,,
67,65197562,d'un,17924655,la trompe d'un éléphant,VERB,17924655,ADP,ADP,ADP,PREP_DET,,,No match,,
68,65830176,débrouilles,18090941,ça va tu te débrouilles tu te débrouilles,VERB,18090941,PROPN,PROPN,VERB,,,No match,,,
69,65283951,grand,17942186,le grand ours regarda son grand lit et dit quelqu'un a touché à mon grand lit,ADJ,17942186,ADJ,ADJ,ADJ,,,,,,
70,65074184,casse,17889171,comme ça il casse la porte et puis comme ça il peut délivrer la personne tu as tu as tout_à_fait raison,VERB,17889171,VERB,VERB,VERB,,,,,,
71,64854935,sous,17833708,ben il était sous la poussette,PREP,17833708,ADP,ADP,ADP,PREP,,,,,LABEL MISMATCHING : PREP vs ADP
72,65038065,regarder,17887944,yyy toi tu vas regarder l'hippopotame,VERB,17887944,VERB,VERB,VERB,,,,,,
73,65196530,fâché,17920661,raconte à maman pourquoi tu es fâché,PART,17920661,VERB,VERB,VERB,PART,,,,,
74,65174569,ramené,17899201,j'ai ramené la petite heu,PART,17899201,VERB,VERB,VERB,PART,,,,,
75,64705063,bien,17808856,est-ce que tu veux bien ramasser ce-qui est à-côté du pied d' Aliyah,ADV,17808856,ADV,ADV,ADV,,,,,,
76,65175808,chéri,17912461,lequel film mon chéri,PART,17912461,NOUN,NOUN,NOUN,PART,,,,,both
77,65548151,impeccable,18016601,là tout est formé tout va bien impeccable,ADJ,18016601,ADJ,ADJ,ADJ,,,,,,
78,65080906,où,17876661,il est où,PRON,17876661,PRON,PRON,PRON,,,,,,
79,65157178,d'une,17915235,xxx en_haut d'une montagne il y la petit maison de Abo,PRON,17915235,ADP,ADP,PREP_DET,,,No match,No match,,
80,65110470,en_général,17903327,en_général,ADV,17903327,ADJ,ADJ,ADV,,,No match,,,Words given with _ as fixed expressions e.g. en_general are sometimes not well parsed through spacy: it gives the pos for only the first or the second part
81,65079737,Rex,17901897,au grand Rex tu vas faire une projection spéciale devant toute la famille,NOUN,17901897,NOUN,NOUN,NOUN,PROPN,,,,,
82,65219541,muscles,17932227,allez fort fort fort de tous tes muscles,NOUN,17932227,NOUN,NOUN,NOUN,,,,,,
83,65411860,lettre,17981152,oh qu'est-ce que c'est que cette lettre,NOUN,17981152,NOUN,NOUN,NOUN,,,,,,
84,64705095,s'appelle,17808939,oui c'est un singe mais comment ça s'appelle,VERB,17808939,PRON,PRON,PRON_VERB,VERB,,No match,,,
85,64641819,massue,17777766,y a aussi une massue,NOUN,17777766,NOUN,NOUN,NOUN,,,,,,
86,65528802,pièce,18006972,une petite pièce,NOUN,18006972,NOUN,NOUN,NOUN,,,,,,
87,65676403,ami,18025092,c'est un bon ami de papa et maman c'est plus qu'un ami c'est la famille,ADJ,18025092,NOUN,NOUN,NOUN,,,,No match,,
88,64637687,autres,17783299,tu dis le nom des autres,PRON,17783299,ADJ,ADJ,PRON,,,No match,,,
89,65427982,appuyait,17981967,après on appuyait sur ses joues,VERB,17981967,VERB,VERB,VERB,,,,,,
90,65208842,un_petit_peu,17920731,non non non Léonard il faut rester là encore un_petit_peu,ADV,17920731,X,X,ADV,,,No match,,,
91,65365974,réussi,17965298,tu as vu j'ai réussi à le mettre,PART,17965298,VERB,VERB,VERB,PART,,,,,
92,64794547,paires,17832765,trois paires de jumeaux,ADJ,17832765,NOUN,NOUN,NOUN,,,,No match,,
93,65362729,pourqu'elle,17955009,faut la reculer pourqu'elle avance mieux,PRON,17955009,SCONJ,SCONJ,PREP_PRON,,,No match,No match,,
94,64622013,vu,17769929,on en a vu plein en vacances c'est le,PREP,17769929,VERB,VERB,VERB,PART,,,No match,,
95,64868514,un,17842883,faudrait que tu fasses un deal avec Nanée,PRON,17842883,DET,DET,DET,PRON,,,,,
96,65365357,ainsi,17963165,et ainsi de suite,PREP,17963165,ADV,ADV,ADV,,,,No match,,
97,65464132,dures,17987570,il est nul on peut même pas changer les robes elles sont trop dures à mettre,ADJ,17987570,ADJ,ADJ,ADJ,,,,,,
98,65476108,ambidextre,17991557,je suis pas ambidextre comme toi,ADJ,17991557,VERB,VERB,ADJ,,,No match,,,
99,64647920,bruit,17773966,faut arrêter de faire du bruit si_il_te_plaît,NOUN,17773966,NOUN,NOUN,NOUN,,,,,,
100,65789597,mangé,18087041,est-ce que tu as assez mangé,PART,18087041,VERB,VERB,VERB,PART,,,,,
101,65292600,portable,17946709,vais lui donner un petit portable,ADJ,17946709,NOUN,NOUN,NOUN,,,,No match,,
102,65519467,l'instrument,18006137,il est où l'instrument de musique Théophile,NOUN,18006137,DET,DET,DET_NOUN,,,No match,No match,,Words given together with determiner e.g. (l'instrument) are sometimes not well parsed. Spacy gives the pos for only the determiner and clan for only the noun. Maybe add space before '.
103,65364148,présentait,17959090,je savais pas si ça allait parce qu'en fait au départ nous on nous le présentait,VERB,17959090,NOUN,NOUN,VERB,,,No match,,,
104,64705469,cours,17810611,c'est dans un autre cours la sculpture,PREP,17810611,NOUN,NOUN,NOUN,,,,No match,,
105,65623854,voudrait,18031442,xxx il voudrait dire tétine,VERB,18031442,AUX,AUX,VERB,,,No match,,,
106,64724744,mais,17798224,elle se regarde dans le miroir c'est bizarre mais elle adore,ADV,17798224,CCONJ,CCONJ,CCONJ,,,,No match,,
107,65843764,Monsieur_Pas_Envie,18099745,Monsieur_Pas_Envie,NOUN,18099745,PROPN,PROPN,NOUN,PROPN,,,,,LABEL MISMATCHING : N vs PROPN
108,65280661,fermé,17948441,fermé,ADJ,17948441,NOUN,NOUN,ADJ,PART,,No match,,,
109,65404728,sans,17981620,est guéri sans rien faire,PREP,17981620,ADP,ADP,ADP,PREP,,,,,prep=adp
110,65992919,c'est,18143301,maintenant c'est à toi maman à moi à moi à toi,VERB,18143301,PRON,PRON,PRON_VERB,,,No match,No match,,"RECURRENT ERROR: ""c'est"" is parsed as verb (1st half) by clan and as pronoun (2nd half) by spacy. Spacy would be more accurate if it received tokens with space before the  ' ."
111,65980574,forts,18136876,c'est dans les les châteaux forts,ADJ,18136876,ADJ,ADJ,ADJ,,,,,,
112,65618815,autant,18022697,pas autant mais,PREP,18022697,ADV,ADV,ADV,,,,No match,,
113,65379089,gros,17972297,c'est gros bidon,ADJ,17972297,ADJ,ADJ,ADJ,,,,,,
114,64896614,toi,17850618,non garde les pour toi les autres,PRON,17850618,NOUN,NOUN,PRON,,,No match,,,
115,64723410,là-haut,17799953,et y en a là-haut des gâteaux aussi regarde,ADV,17799953,ADV,ADV,ADV,,,,,,
116,65234972,dans,17934453,trempez la dans l'eau ça fera un escargot tout chaud,PREP,17934453,ADP,ADP,PREP,ADP,,,,,
117,65223461,dessous,17934915,ah oui mais maintenant on voit plus ce qu'il y a dessous alors,ADV,17934915,ADV,ADV,ADV,,,,,,
118,64608930,petit,17775057,là aussi y en a une petit peu rose,ADJ,17775057,ADJ,ADJ,ADJ,,,,,,
119,65765907,par,18072333,c'est c'est lui qui risque d' être attrapé par toi hein,ADV,18072333,ADP,ADP,PREP,,,No match,No match,,
120,64694264,je,17783361,je jette le dessin d' Ael,PRON,17783361,PRON,PRON,PRON,,,,,,
121,65012767,en,17882138,l'habite en Australie,PREP,17882138,ADP,ADP,PREP,ADP,,,,,LABEL MISMATCHING : PREP vs ADP
122,65525929,sur,17999824,sur ta tête,PREP,17999824,ADP,ADP,PREP,ADP,,,,,
123,64832257,échasse,17833988,une échasse,NOUN,17833988,NOUN,NOUN,NOUN,,,,,,
124,64958665,trouver,17868042,ouais si il est là le coin mais il faut le trouver là le coin,VERB,17868042,VERB,VERB,VERB,,,,,,
125,65317666,manges,17955280,tu manges,VERB,17955280,ADJ,ADJ,VERB,,,No match,,,
126,64780457,bu,17807912,on a bu aussi peut-être un peu,PART,17807912,VERB,VERB,VERB,PART,,,,,LABEL MISMATCHING : PART vs VERB
127,65087513,aime,17905921,il aime bien la grenouille,VERB,17905921,VERB,VERB,VERB,,,,,,
128,65277016,moi-même,17950939,récemment il a même dit moi-même,PRON,17950939,PRON,PRON,PRON,,,,,,
129,65382523,terrible,17968860,et c'est terrible,ADV,17968860,ADJ,ADJ,ADJ,,,,No match,,
130,65423527,diplôme,17987365,ton dernier diplôme c'est quoi c'est ton diplôme d' ingénieur,NOUN,17987365,NOUN,NOUN,NOUN,,,,,,
131,64850847,il,17823074,ben il le prend naturellement comme ça,PRON,17823074,PRON,PRON,PRON,,,,,,
132,65845423,en_général,18100857,mais oui mais deux minutes tu as beaucoup jouer hors du bain en_général tu joues plus dans le bain parce que tu joues moins hors du bain,ADV,18100857,NUM,NUM,ADV,,,No match,,,
133,65343441,à-côté,17951751,à-côté des éléphants,ADV,17951751,ADP,ADP,?,,,No match,No match,,LABEL MISMATCHING : ADV vs ADP
134,65075472,par-là,17896121,d'accord il rentre par-là,ADV,17896121,ADP,ADP,ADP,PREP_PRON,ADV,,,,
135,65776941,biographies,18046549,donc les biographies les textes de présentation les critiques de,NOUN,18046549,NOUN,NOUN,NOUN,,,,,,
136,65996614,dans,18145799,je suis pas tombé dans le trou coquin,PREP,18145799,ADP,ADP,ADP,PREP,,,,,
137,65478525,plus,17998895,je sais plus euh,PREP,17998895,ADV,ADV,ADV,,,,No match,,
138,64982857,plein,17867980,tu as plein de dents,NOUN,17867980,ADJ,ADJ,ADJ,,,,No match,,
139,65458360,l'enlèves,17983295,c'est toi qui l'enlèves,VERB,17983295,DET,DET,PRON_VERB,,,No match,No match,,Words given together with object e.g. (l'envoles) are sometimes not well parsed: spacy gives the pos for only the object and clan for only the verb. Maybe add space before '.
140,64668104,tu,17788545,oh c'est un peu dégoûtant ce-que tu fais Anaé,PART,17788545,ADJ,ADJ,PRON,,,No match,No match,,
141,65512008,sale,17996477,oh pas dans la bouche c'est sale ouh,ADJ,17996477,VERB,VERB,ADJ,,,No match,,,
142,65778117,content,18052377,il est tout content hein,ADJ,18052377,ADV,ADV,ADJ,,,No match,,,
143,64927929,autant,17856989,mais oui mon chéri tu as pas autant de cheveux,PREP,17856989,ADV,ADV,ADV,,,,No match,,
144,65087856,Léonard,17899693,une petite boulette pour Léonard,NOUN,17899693,PROPN,PROPN,NOUN,,,No match,,,
145,64838997,à_partir,17837069,venez à_partir de dix neuf heures quoi,ADV,17837069,ADP,ADP,ADP,,,,No match,,
146,65128216,bleu,17901870,et y a un petit peu de bleu là aussi ah non c'est pas ça,ADJ,17901870,VERB,VERB,ADJ,,,No match,,,
147,64962597,trouvé,17873979,voilà c'est vite trouvé,PART,17873979,VERB,VERB,VERB,PART,,,,,
148,65709195,savonnés,18035321,ils sont pas savonnés mais bon,PART,18035321,ADV,ADV,VERB,PART,ADJ,No match,,,LABEL MISMATCHING : PART vs VERB
149,65359928,dangereux,17969992,ah que le lui il est assis devant le camion du du du tracteur du papa et de la laie hum du_coup yyy c'est dangereux,ADJ,17969992,ADJ,ADJ,ADJ,,,,,,
150,65431189,amènerai,17979008,je lui amènerai tous les trucs,VERB,17979008,ADP,ADP,VERB,,,No match,,,
151,64894681,normal,17845018,mais rouge c'est normal,ADJ,17845018,ADJ,ADJ,ADJ,,,,,,
152,65265600,jouant,17946040,on sait pas s'il essaye de charmer le fantôme euh en jouant de la flûte mais,PART,17946040,NOUN,NOUN,PART,,,No match,,,
153,65779275,international,18044867,ho la la le ski international dis_donc,ADJ,18044867,ADJ,ADJ,ADJ,,,,,,
154,65402955,petite,17977646,regardez c'est c'est une petite échelle,ADJ,17977646,ADJ,ADJ,ADJ,,,,,,
155,64881663,toute,17854665,en_avant toute allez dépêche toi,PRON,17854665,ADJ,ADJ,ADJ,,,,No match,,
156,65404848,comment,17981986,de la flûte comment,NOUN,17981986,ADV,ADV,ADV,PRON,,,No match,,
157,65673979,pendant,18021386,et qu'est-ce que tu as fait pendant les vacances,PREP,18021386,ADP,ADP,ADP,PREP,,,,,
158,64894404,sont,17850045,xxx je les ai cueillies tout_à_l'heure elles sont dans un petit bol pour toi tout_à_l'heure,VERB,17850045,AUX,AUX,VERB,,,No match,,,LABEL MISMATCHING : AUX vs VERB
159,65296949,alors,17953613,tu préfères lui mettre quoi alors,ADV,17953613,ADV,ADV,ADV,,,,,,
160,65344142,vu,17966779,c'est vrai qu'on avait vu la Belle_Au_Bois_Dormant oui,PART,17966779,VERB,VERB,VERB,PART,,,,,
161,65397197,puisqu'elle,17968841,puisqu'elle est puisqu'elle maman elle pouvait pas bouger puisqu'elle est puisqu'elle venait de naître aujourd'hui,PRON,17968841,SCONJ,SCONJ,SCONJ,PRON,,,,,ERROS IN WORDS WITH ' eg puisqu'elle
162,65359663,jolie,17969527,oui mais maintenant sa jolie laie vient pour avec sa pelle,ADJ,17969527,ADJ,ADJ,ADJ,,,,,,
163,65245520,entier,17935894,et c'était un univers entier de chocolat ici,ADJ,17935894,ADJ,ADJ,ADJ,,,,,,
164,64734065,fait,17809990,il le pousse il le fait tomber,PART,17809990,VERB,VERB,VERB,,,,No match,,
165,65409250,plus,17972412,pourtant j'ai dormi un peu plus que d'habitude,PREP,17972412,ADV,ADV,ADV,,,,No match,,
166,64797753,dur,17821968,attends c'est dur c'est parce que,ADJ,17821968,ADJ,ADJ,ADJ,,,,,,
167,65110497,Kapla,17903387,montre moi qu'est-ce que est-ce que avec les Kapla tu arriverais à faire un truc que les comme les oiseaux ils ils vont casser,NOUN,17903387,PROPN,PROPN,NOUN,PROPN,,,,,
168,64678088,seules,17791301,mais elles sont tombées tout seules,ADJ,17791301,ADJ,ADJ,ADJ,,,,,,
169,65492148,perles,18002106,euh les billes les perles pardon,NOUN,18002106,NOUN,NOUN,NOUN,,,,,,
170,64636365,froid,17779497,parce qu'ils vont avoir froid regarde ils sont tout nus,ADJ,17779497,ADJ,ADJ,NOUN,,,No match,No match,,
171,65324321,placé,17954294,on l'a pas bien placé,ADJ,17954294,VERB,VERB,VERB,PART,,,No match,,
172,65630189,cru,18037647,thon cru,ADV,18037647,PROPN,PROPN,ADJ,,,No match,No match,,Spacy issue with Proper nouns.
173,64947459,revenu,17857339,ça_y_est Matthieu est revenu euh,PART,17857339,VERB,VERB,VERB,PART,,,,,
174,65663262,gardé,18031493,ils étaient tellement enveloppés je sentais plus rien je croyais qu'ils avaient gardé que le corps,PART,18031493,VERB,VERB,VERB,PART,,,,,
175,65358204,cherchait,17971543,il cherchait des baies,VERB,17971543,VERB,VERB,VERB,,,,,,
176,65340915,a,17970464,mh ça a l'air très bon la pâtisserie,VERB,17970464,VERB,VERB,VERB,,,,,,
177,64862650,suffisamment,17828152,encore suffisamment souple et qui ait cette forme là dans la remise,ADV,17828152,ADV,ADV,ADV,,,,,,
178,65552548,après,18010954,et après un bon bain d'accord,PREP,18010954,ADP,ADP,ADP,PREP,,,,,
179,65159939,collante,17924724,elle est un_peu collante hum,ADJ,17924724,ADJ,ADJ,ADJ,,,,,,
180,65118790,mangé,17908543,tu en as déjà assez mangé tout_à_l'heure clair que,PART,17908543,VERB,VERB,VERB,PART,,,,,
181,64780589,même,17808477,il ne parle même pas lui,PRON,17808477,ADV,ADV,ADV,PRON,,,,,
182,65013803,retourné,17886911,parce que parce que est retourné là et après ɛ s'est sauvé,PART,17886911,NOUN,NOUN,VERB,PART,,No match,,,
183,65880439,Yona,18091522,montre montre ton garage montre ton garage et tes voitures à Yona elle les connaît pas,NOUN,18091522,PROPN,PROPN,PROPN,,,,No match,,
184,64792640,nourriture,17835271,surtout avec ce genre de nourriture,NOUN,17835271,NOUN,NOUN,NOUN,,,,,,
185,65538654,intéresse,18016460,tu as qu'à faire celui des couleurs jusqu'à ce-que ce soit une couleur qui nous intéresse,VERB,18016460,VERB,VERB,VERB,,,,,,
186,65912484,plus,18101990,plus l'agitation,PREP,18101990,ADV,ADV,ADV,,,,No match,,
187,65643037,ils,18027529,non ils sont en_bas euh,PRON,18027529,PRON,PRON,PRON,,,,,,
188,65794545,bien,18071929,xxx quoique oui je veux bien,ADV,18071929,ADV,ADV,ADV,,,,,,
189,65308676,tranquille,17961972,laisse le laisse laisse laisse laisse Guillaume tranquille,ADJ,17961972,ADJ,ADJ,ADJ,,,,,,
190,64898425,passe,17857573,qu'est-ce qui se passe,VERB,17857573,VERB,VERB,VERB,,,,,,
191,65642901,petit,18027253,moi ai trouvé un un petit bout de truc,ADJ,18027253,ADJ,ADJ,ADJ,,,,,,
192,65121652,cachée,17910021,oui je l'ai cachée,PART,17910021,VERB,VERB,VERB,PART,,,,,
193,64726758,petits,17802501,et les petits chats,ADJ,17802501,ADJ,ADJ,ADJ,,,,,,
194,64756761,là,17820860,tu dis il pleut oh là là oh là là tu sais le ciel il est gris han il fait pas beau il fait froid,ADV,17820860,ADV,ADV,?,,,No match,No match,,
195,65510741,tombé,17995117,c'est bien tombé alors,PART,17995117,VERB,VERB,VERB,PART,,,,,
196,65598741,cher,18022189,je me disais oui c'est bien cher,ADV,18022189,ADJ,ADJ,ADJ,,,,No match,,
197,64705857,filmer,17790120,yyy me filme me filmer avec des livres,VERB,17790120,VERB,VERB,VERB,,,,,,
198,65281185,t'asseoir,17952115,tu veux t'asseoir sur le,VERB,17952115,ADP,ADP,PRON_VERB,VERB,,No match,,,
199,64910077,quand,17842858,tu as mouché fort quand,ADV,17842858,SCONJ,SCONJ,SCONJ,PRON,ADV,,,,
