,token_id,gloss,utterance_id,utterance_gloss,part_of_speech,log_frequency_bin,utterance_id,spacy_part_of_speech,CORRECT,comment
19,65384661,prend,17978198,ben prend un verre,v,2,17978198,VERB,VERB,
20,64996843,tu,17859584,tu as un salon aussi,pro,4,17859584,NOUN,PRON,spacy: noun instead of pronoun
21,64754877,passe,17817296,et ça se passe aussi euh le bébé,v,2,17817296,VERB,VERB,
22,65488663,oreiller,17995329,l'avait un oreiller,n,1,17995329,NOUN,NOUN,
23,65477897,regarde,17996618,regarde les carottes,v,4,17996618,NOUN,VERB,
24,65228613,petite,17929892,ça c'est un petit garçon xxx à côté de sa petite maison,adj,4,17929892,ADJ,ADJ,
25,65418888,d'habitude,17976314,d'habitude ça crie hein,n,2,17976314,ADP,ADP,clan: noun instead of adp
26,64802412,mal,17830576,maman elle s'y prend mal mais euh,adj,3,17830576,ADV,ADV,clan: adj instead of adv
27,64729913,roté,17812388,oh j'ai roté,part,0,17812388,VERB,VERB/PARTICIPLE,
28,65777778,achetés,18047271,tu te souviens des couverts qu'elle t'avait achetés Lili,part,0,18047271,VERB,VERB/PARTICIPLE,
29,64806207,te,17836980,tu es un coquin toi on va te donner un peu de pain quand_même peut-être non pour meubler un peu non,pro,3,17836980,NOUN,PRON,LABEL MISMATCHING : PRO vs NOUN 
30,64957042,ceux,17866320,tout ceux qui qui ont du tu vois là on dirait du ciel,pro,1,17866320,PRON,PRON,
31,64952620,lui,17850315,ah lui il peut aller ici,part,4,17850315,PRON,PRON,
32,65925602,que,18107197,mais l'autre on peut pas parce que il est en verre Théophile s'il tombe ça va ça va xxx,pro,3,18107197,SCONJ,SCONJ,pro=sconj
33,65195600,encore,17929744,tu veux encore du fromage Madeleine,adv,3,17929744,ADV,ADV,
34,64909601,c'est,17841794,c'est toi qui l'as cassée,v,4,17841794,PRON,PRON_VERB,"RECURRENT ERROR: ""c'est"" is parsed as verb (1st half) by clan and as pronoun (2nd half) by spacy. Spacy would be more accurate if it received tokens with space before the  ' ."
35,65010719,ça,17879650,à quoi ça sert ce-qui a devant l'éléphant là hein,pro,4,17879650,PRON,PRON,
36,65214554,neuf,17922346,euh vingt neuf trente trente et un trente deux trente trois,adj,3,17922346,ADJ,ADJ,
37,65142789,cela,17918766,oh cela dit tu as un peu de retard,v,0,17918766,PRON,PRON,clan: pronoun as verb
38,65275873,doué,17950198,t'es doué hein,adj,0,17950198,X,ADJ/PART,spacy: unrecognized word
39,65258456,en_bas,17940278,poule en_haut poule en_bas poule pond guère,adv,2,17940278,PUNCT,ADV,spacy: punctuation does not exist
40,65572091,via,18022058,il était rattaché directement via Nissan,prep,0,18022058,ADP/PREP,ADP/PREP,LABEL MISMATCHING : PREP vs ADP 
41,65496580,à,17997611,on va faire une voiture à l'ancienne,prep,4,17997611,ADP/PREP,ADP/PREP,
42,64728144,lancé,17808446,comme Azur et Asmar vous vous êtes lancé de la terre,part,1,17808446,VERB,VERB/PARTICIPLE,
43,64872875,comment,17843003,oui ça s'appelle comment,n,4,17843003,ADV,ADV/PRON,
44,64799371,là,17827851,tu es pas gentil là hein,adv,4,17827851,ADV,?,
45,65796722,sauf,18087833,sauf que ça pousse très vite,prep,1,18087833,ADP/PREP,ADP/PREP,
46,65003525,tu,17878139,pourquoi tu voies un voleur,part,4,17878139,PRON,PRON,
47,65212186,gommettes,17924639,et après tu sais comment on fait pour les gommettes hein,n,2,17924639,NOUN,NOUN,
48,65501167,pleurer,17996083,faut faut me regarder parce que si on me regarde pas hum je vais pleurer,v,1,17996083,VERB,VERB,
49,64675574,référence,17799610,j'ai pas encore trouvé les piles xxx j'ai pas encore trouvé les piles qui vont avec faut que je reprenne la référence,n,0,17799610,NOUN,NOUN,
50,65374541,moyennement,17969600,avec des freins ça marche moyennement avec les pieds plutôt,adv,0,17969600,VERB,ADV,
51,64715261,petit,17788581,d'accord parce que celui-là il est vraiment petit tu m'en fais un moyen,adj,4,17788581,ADJ,ADJ,
52,65722140,avez,18070622,vous avez appris une chanson ce matin,v,2,18070622,AUX,AUX,LABEL MISMATCHING : V vs AUX (spacy is more precise here) 
53,65313212,j'en,17960828,j'en remets,pro,2,17960828,PRON,PRON_PRON,
54,64724861,débarbouille,17798500,Emma se débarbouille sans rien dire mais juste avant de partir elle glisse dans son sac à trésors du rouge à lèvre des barrettes et des chouchous,v,0,17798500,VERB,VERB,
55,64897731,attends,17853130,oui attends mon chéri maman,v,3,17853130,VERB,VERB,
56,64860183,cuillère,17845329,du coup à défaut d' une tête on met une cuillère,n,3,17845329,NOUN,NOUN,
57,64722945,suffisamment,17798197,mais tu vas avoir quelqu'un pour garder les enfants suffisamment longtemps,adv,0,17798197,ADV,ADV,
58,65521891,Madeleine,18003741,première composition de Madeleine,n,4,18003741,NOUN,NOUN,
59,65335981,jusque,17955075,et après il yyy je l'attends jusque qu'il arrive qu'il arrive,prep,1,17955075,VERB,ADP/PREP,
60,65456319,à,17991912,hop et toi je te donne à manger,prep,4,17991912,ADP,ADP/PREP,
61,65028981,centimètres,17880930,ah oui et montre montre je vais xxx calculer combien ta main elle fait de centimètres,n,1,17880930,NOUN,NOUN,
62,65580100,persistante,18023378,je la trouve très persistante moi,adj,0,18023378,ADJ,ADJ,
63,65714720,allé,18053945,j'ai allé alors alors j'ai allé euh un une une mini fois,part,3,18053945,VERB,VERB/PARTICIPLE,
64,65833031,pas,18092697,tu disais pas ça y a quatre jours quoi,adv,4,18092697,ADV,ADV,
65,64746747,dessus,17813329,et tu as fait quoi tu as sauté dessus,adv,2,17813329,ADV,ADV,
66,64730690,sûrement,17804876,je vais sûrement la trouver dans le coffre de l'auto,adv,1,17804876,ADV,ADV,
67,65197562,d'un,17924655,la trompe d'un éléphant,v,0,17924655,ADP,ADP/PREP_DET,
68,65830176,débrouilles,18090941,ça va tu te débrouilles tu te débrouilles,v,1,18090941,PROPN,VERB,
69,65283951,grand,17942186,le grand ours regarda son grand lit et dit quelqu'un a touché à mon grand lit,adj,4,17942186,ADJ,ADJ,
70,65074184,casse,17889171,comme ça il casse la porte et puis comme ça il peut délivrer la personne tu as tu as tout_à_fait raison,v,1,17889171,VERB,VERB,
71,64854935,sous,17833708,ben il était sous la poussette,prep,2,17833708,ADP,ADP/PREP,LABEL MISMATCHING : PREP vs ADP 
72,65038065,regarder,17887944,yyy toi tu vas regarder l'hippopotame,v,2,17887944,VERB,VERB,
73,65196530,fâché,17920661,raconte à maman pourquoi tu es fâché,part,1,17920661,VERB,VERB/PARTICIPLE,
74,65174569,ramené,17899201,j'ai ramené la petite heu,part,1,17899201,VERB,VERB/PARTICIPLE,
75,64705063,bien,17808856,est-ce que tu veux bien ramasser ce-qui est à-côté du pied d' Aliyah,adv,3,17808856,ADV,ADV,
76,65175808,chéri,17912461,lequel film mon chéri,part,3,17912461,NOUN,NOUN/PART,both
77,65548151,impeccable,18016601,là tout est formé tout va bien impeccable,adj,1,18016601,ADJ,ADJ,
78,65080906,où,17876661,il est où,pro,4,17876661,PRON,PRON,
79,65157178,d'une,17915235,xxx en_haut d'une montagne il y la petit maison de Abo,pro,1,17915235,ADP,PREP_DET,
80,65110470,en_général,17903327,en_général,adv,1,17903327,ADJ,ADV,Words given with _ as fixed expressions e.g. en_general are sometimes not well parsed through spacy: it gives the pos for only the first or the second part
81,65079737,Rex,17901897,au grand Rex tu vas faire une projection spéciale devant toute la famille,n,0,17901897,NOUN,NOUN/PROPN,
82,65219541,muscles,17932227,allez fort fort fort de tous tes muscles,n,1,17932227,NOUN,NOUN,
83,65411860,lettre,17981152,oh qu'est-ce que c'est que cette lettre,n,2,17981152,NOUN,NOUN,
84,64705095,s'appelle,17808939,oui c'est un singe mais comment ça s'appelle,v,3,17808939,PRON,PRON_VERB,
85,64641819,massue,17777766,y a aussi une massue,n,0,17777766,NOUN,NOUN,
86,65528802,pièce,18006972,une petite pièce,n,2,18006972,NOUN,NOUN,
87,65676403,ami,18025092,c'est un bon ami de papa et maman c'est plus qu'un ami c'est la famille,adj,0,18025092,NOUN,NOUN,
88,64637687,autres,17783299,tu dis le nom des autres,pro,2,17783299,ADJ,PRON,
89,65427982,appuyait,17981967,après on appuyait sur ses joues,v,0,17981967,VERB,VERB,
90,65208842,un_petit_peu,17920731,non non non Léonard il faut rester là encore un_petit_peu,adv,0,17920731,X,ADV,
91,65365974,réussi,17965298,tu as vu j'ai réussi à le mettre,part,2,17965298,VERB,VERB/PARTICIPLE,
92,64794547,paires,17832765,trois paires de jumeaux,adj,1,17832765,NOUN,NOUN,
93,65362729,pourqu'elle,17955009,faut la reculer pourqu'elle avance mieux,pro,1,17955009,SCONJ,PREP_PRON,
94,64622013,vu,17769929,on en a vu plein en vacances c'est le,prep,3,17769929,VERB,VERB/PARTICIPLE,
95,64868514,un,17842883,faudrait que tu fasses un deal avec Nanée,pro,2,17842883,DET,DET,
96,65365357,ainsi,17963165,et ainsi de suite,prep,0,17963165,ADV,ADV,
97,65464132,dures,17987570,il est nul on peut même pas changer les robes elles sont trop dures à mettre,adj,0,17987570,ADJ,ADJ,
98,65476108,ambidextre,17991557,je suis pas ambidextre comme toi,adj,0,17991557,VERB,ADJ,
99,64647920,bruit,17773966,faut arrêter de faire du bruit si_il_te_plaît,n,3,17773966,NOUN,NOUN,
100,65789597,mangé,18087041,est-ce que tu as assez mangé,part,3,18087041,VERB,VERB/PARTICIPLE,
101,65292600,portable,17946709,vais lui donner un petit portable,adj,1,17946709,NOUN,NOUN,
102,65519467,l'instrument,18006137,il est où l'instrument de musique Théophile,n,0,18006137,DET,DET_NOUN,Words given together with determiner e.g. (l'instrument) are sometimes not well parsed. Spacy gives the pos for only the determiner and clan for only the noun. Maybe add space before '. 
103,65364148,présentait,17959090,je savais pas si ça allait parce qu'en fait au départ nous on nous le présentait,v,0,17959090,NOUN,VERB,
104,64705469,cours,17810611,c'est dans un autre cours la sculpture,prep,0,17810611,NOUN,NOUN,
105,65623854,voudrait,18031442,xxx il voudrait dire tétine,v,1,18031442,AUX,VERB,
106,64724744,mais,17798224,elle se regarde dans le miroir c'est bizarre mais elle adore,adv,4,17798224,CCONJ,CCONJ,
107,65843764,Monsieur_Pas_Envie,18099745,Monsieur_Pas_Envie,n,0,18099745,PROPN,NOUN/PROPN,LABEL MISMATCHING : N vs PROPN 
108,65280661,fermé,17948441,fermé,adj,2,17948441,NOUN,ADJ/PARTICIPLE,
109,65404728,sans,17981620,est guéri sans rien faire,prep,2,17981620,ADP,ADP/PREP,prep=adp
110,65992919,c'est,18143301,maintenant c'est à toi maman à moi à moi à toi,v,4,18143301,PRON,PRON_VERB,"RECURRENT ERROR: ""c'est"" is parsed as verb (1st half) by clan and as pronoun (2nd half) by spacy. Spacy would be more accurate if it received tokens with space before the  ' ."
111,65980574,forts,18136876,c'est dans les les châteaux forts,adj,1,18136876,ADJ,ADJ,
112,65618815,autant,18022697,pas autant mais,prep,1,18022697,ADV,ADV,
113,65379089,gros,17972297,c'est gros bidon,adj,3,17972297,ADJ,ADJ,
114,64896614,toi,17850618,non garde les pour toi les autres,pro,3,17850618,NOUN,PRON,
115,64723410,là-haut,17799953,et y en a là-haut des gâteaux aussi regarde,adv,2,17799953,ADV,ADV,
116,65234972,dans,17934453,trempez la dans l'eau ça fera un escargot tout chaud,prep,4,17934453,ADP,PREP/ADP,
117,65223461,dessous,17934915,ah oui mais maintenant on voit plus ce qu'il y a dessous alors,adv,1,17934915,ADV,ADV,
118,64608930,petit,17775057,là aussi y en a une petit peu rose,adj,4,17775057,ADJ,ADJ,
119,65765907,par,18072333,c'est c'est lui qui risque d' être attrapé par toi hein,adv,2,18072333,ADP,PREP,
120,64694264,je,17783361,je jette le dessin d' Ael,pro,4,17783361,PRON,PRON,
121,65012767,en,17882138,l'habite en Australie,prep,4,17882138,ADP,PREP/ADP,LABEL MISMATCHING : PREP vs ADP 
122,65525929,sur,17999824,sur ta tête,prep,4,17999824,ADP,PREP/ADP,
123,64832257,échasse,17833988,une échasse,n,0,17833988,NOUN,NOUN,
124,64958665,trouver,17868042,ouais si il est là le coin mais il faut le trouver là le coin,v,2,17868042,VERB,VERB,
125,65317666,manges,17955280,tu manges,v,2,17955280,ADJ,VERB,
126,64780457,bu,17807912,on a bu aussi peut-être un peu,part,2,17807912,VERB,VERB/PARTICIPLE,LABEL MISMATCHING : PART vs VERB 
127,65087513,aime,17905921,il aime bien la grenouille,v,2,17905921,VERB,VERB,
128,65277016,moi-même,17950939,récemment il a même dit moi-même,pro,0,17950939,PRON,PRON,
129,65382523,terrible,17968860,et c'est terrible,adv,1,17968860,ADJ,ADJ,
130,65423527,diplôme,17987365,ton dernier diplôme c'est quoi c'est ton diplôme d' ingénieur,n,0,17987365,NOUN,NOUN,
131,64850847,il,17823074,ben il le prend naturellement comme ça,pro,4,17823074,PRON,PRON,
132,65845423,en_général,18100857,mais oui mais deux minutes tu as beaucoup jouer hors du bain en_général tu joues plus dans le bain parce que tu joues moins hors du bain,adv,1,18100857,NUM,ADV,
133,65343441,à-côté,17951751,à-côté des éléphants,adv,2,17951751,ADP,?,LABEL MISMATCHING : ADV vs ADP 
134,65075472,par-là,17896121,d'accord il rentre par-là,adv,2,17896121,ADP,ADP/PREP_PRON,
135,65776941,biographies,18046549,donc les biographies les textes de présentation les critiques de,n,0,18046549,NOUN,NOUN,
136,65996614,dans,18145799,je suis pas tombé dans le trou coquin,prep,4,18145799,ADP,ADP/PREP,
137,65478525,plus,17998895,je sais plus euh,prep,3,17998895,ADV,ADV,
138,64982857,plein,17867980,tu as plein de dents,n,3,17867980,ADJ,ADJ,
139,65458360,l'enlèves,17983295,c'est toi qui l'enlèves,v,1,17983295,DET,PRON_VERB,Words given together with object e.g. (l'envoles) are sometimes not well parsed: spacy gives the pos for only the object and clan for only the verb. Maybe add space before '. 
140,64668104,tu,17788545,oh c'est un peu dégoûtant ce-que tu fais Anaé,part,4,17788545,ADJ,PRON,
141,65512008,sale,17996477,oh pas dans la bouche c'est sale ouh,adj,2,17996477,VERB,ADJ,
142,65778117,content,18052377,il est tout content hein,adj,3,18052377,ADV,ADJ,
143,64927929,autant,17856989,mais oui mon chéri tu as pas autant de cheveux,prep,1,17856989,ADV,ADV,
144,65087856,Léonard,17899693,une petite boulette pour Léonard,n,3,17899693,PROPN,NOUN,
145,64838997,à_partir,17837069,venez à_partir de dix neuf heures quoi,adv,1,17837069,ADP,ADP,
146,65128216,bleu,17901870,et y a un petit peu de bleu là aussi ah non c'est pas ça,adj,3,17901870,VERB,ADJ,
147,64962597,trouvé,17873979,voilà c'est vite trouvé,part,3,17873979,VERB,VERB/PARTICIPLE,
148,65709195,savonnés,18035321,ils sont pas savonnés mais bon,part,0,18035321,ADV,VERB/PARTICIPLE,LABEL MISMATCHING : PART vs VERB 
149,65359928,dangereux,17969992,ah que le lui il est assis devant le camion du du du tracteur du papa et de la laie hum du_coup yyy c'est dangereux,adj,2,17969992,ADJ,ADJ,
150,65431189,amènerai,17979008,je lui amènerai tous les trucs,v,0,17979008,ADP,VERB,
151,64894681,normal,17845018,mais rouge c'est normal,adj,2,17845018,ADJ,ADJ,
152,65265600,jouant,17946040,on sait pas s'il essaye de charmer le fantôme euh en jouant de la flûte mais,part,0,17946040,NOUN,PARTICIPLE,
153,65779275,international,18044867,ho la la le ski international dis_donc,adj,0,18044867,ADJ,ADJ,
154,65402955,petite,17977646,regardez c'est c'est une petite échelle,adj,4,17977646,ADJ,ADJ,
155,64881663,toute,17854665,en_avant toute allez dépêche toi,pro,1,17854665,ADJ,PRON,
156,65404848,comment,17981986,de la flûte comment,n,4,17981986,ADV,ADV/PRON,
157,65673979,pendant,18021386,et qu'est-ce que tu as fait pendant les vacances,prep,2,18021386,ADP,ADP/PREP,
158,64894404,sont,17850045,xxx je les ai cueillies tout_à_l'heure elles sont dans un petit bol pour toi tout_à_l'heure,v,3,17850045,AUX,VERB,LABEL MISMATCHING : AUX vs VERB 
159,65296949,alors,17953613,tu préfères lui mettre quoi alors,adv,4,17953613,ADV,ADV,
160,65344142,vu,17966779,c'est vrai qu'on avait vu la Belle_Au_Bois_Dormant oui,part,3,17966779,VERB,VERB/PARTICIPLE,
161,65397197,puisqu'elle,17968841,puisqu'elle est puisqu'elle maman elle pouvait pas bouger puisqu'elle est puisqu'elle venait de naître aujourd'hui,pro,0,17968841,SCONJ,SCONJ/PRON,ERROS IN WORDS WITH ' eg puisqu'elle
162,65359663,jolie,17969527,oui mais maintenant sa jolie laie vient pour avec sa pelle,adj,2,17969527,ADJ,ADJ,
163,65245520,entier,17935894,et c'était un univers entier de chocolat ici,adj,1,17935894,ADJ,ADJ,
164,64734065,fait,17809990,il le pousse il le fait tomber,part,4,17809990,VERB,VERB,
165,65409250,plus,17972412,pourtant j'ai dormi un peu plus que d'habitude,prep,3,17972412,ADV,ADV,
166,64797753,dur,17821968,attends c'est dur c'est parce que,adj,3,17821968,ADJ,ADJ,
167,65110497,Kapla,17903387,montre moi qu'est-ce que est-ce que avec les Kapla tu arriverais à faire un truc que les comme les oiseaux ils ils vont casser,n,1,17903387,PROPN,NOUN/PROPN,
168,64678088,seules,17791301,mais elles sont tombées tout seules,adj,0,17791301,ADJ,ADJ,
169,65492148,perles,18002106,euh les billes les perles pardon,n,1,18002106,NOUN,NOUN,
170,64636365,froid,17779497,parce qu'ils vont avoir froid regarde ils sont tout nus,adj,2,17779497,ADJ,NOUN,
171,65324321,placé,17954294,on l'a pas bien placé,adj,0,17954294,VERB,VERB/PARTICIPLE,
172,65630189,cru,18037647,thon cru,adv,0,18037647,PROPN,ADJ,Spacy issue with Proper nouns. 
173,64947459,revenu,17857339,ça_y_est Matthieu est revenu euh,part,0,17857339,VERB,VERB/PARTICIPLE,
174,65663262,gardé,18031493,ils étaient tellement enveloppés je sentais plus rien je croyais qu'ils avaient gardé que le corps,part,1,18031493,VERB,VERB/PARTICIPLE,
175,65358204,cherchait,17971543,il cherchait des baies,v,1,17971543,VERB,VERB,
176,65340915,a,17970464,mh ça a l'air très bon la pâtisserie,v,4,17970464,VERB,VERB,
177,64862650,suffisamment,17828152,encore suffisamment souple et qui ait cette forme là dans la remise,adv,0,17828152,ADV,ADV,
178,65552548,après,18010954,et après un bon bain d'accord,prep,2,18010954,ADP,ADP/PREP,
179,65159939,collante,17924724,elle est un_peu collante hum,adj,0,17924724,ADJ,ADJ,
180,65118790,mangé,17908543,tu en as déjà assez mangé tout_à_l'heure clair que,part,3,17908543,VERB,VERB/PARTICIPLE,
181,64780589,même,17808477,il ne parle même pas lui,pro,1,17808477,ADV,ADV/PRON,
182,65013803,retourné,17886911,parce que parce que est retourné là et après ɛ s'est sauvé,part,1,17886911,NOUN,VERB/PARTICIPLE,
183,65880439,Yona,18091522,montre montre ton garage montre ton garage et tes voitures à Yona elle les connaît pas,n,2,18091522,PROPN,PROPN,
184,64792640,nourriture,17835271,surtout avec ce genre de nourriture,n,1,17835271,NOUN,NOUN,
185,65538654,intéresse,18016460,tu as qu'à faire celui des couleurs jusqu'à ce-que ce soit une couleur qui nous intéresse,v,0,18016460,VERB,VERB,
186,65912484,plus,18101990,plus l'agitation,prep,3,18101990,ADV,ADV,
187,65643037,ils,18027529,non ils sont en_bas euh,pro,3,18027529,PRON,PRON,
188,65794545,bien,18071929,xxx quoique oui je veux bien,adv,3,18071929,ADV,ADV,
189,65308676,tranquille,17961972,laisse le laisse laisse laisse laisse Guillaume tranquille,adj,2,17961972,ADJ,ADJ,
190,64898425,passe,17857573,qu'est-ce qui se passe,v,2,17857573,VERB,VERB,
191,65642901,petit,18027253,moi ai trouvé un un petit bout de truc,adj,4,18027253,ADJ,ADJ,
192,65121652,cachée,17910021,oui je l'ai cachée,part,2,17910021,VERB,VERB/PARTICIPLE,
193,64726758,petits,17802501,et les petits chats,adj,4,17802501,ADJ,ADJ,
194,64756761,là,17820860,tu dis il pleut oh là là oh là là tu sais le ciel il est gris han il fait pas beau il fait froid,adv,4,17820860,ADV,?,
195,65510741,tombé,17995117,c'est bien tombé alors,part,3,17995117,VERB,VERB/PARTICIPLE,
196,65598741,cher,18022189,je me disais oui c'est bien cher,adv,0,18022189,ADJ,ADJ,
197,64705857,filmer,17790120,yyy me filme me filmer avec des livres,v,2,17790120,VERB,VERB,
198,65281185,t'asseoir,17952115,tu veux t'asseoir sur le,v,2,17952115,ADP,PRON_VERB,
199,64910077,quand,17842858,tu as mouché fort quand,adv,3,17842858,SCONJ,SCONJ/PRON,
200,65480783,sales,17992220,t'as les mains toutes sales mon amour maintenant faut se laver les mains,adj,1,17992220,NOUN,ADJ,
201,65332981,mélangé,17952608,z l'ai mélangé,part,1,17952608,VERB,VERB/PARTICIPLE,
202,65813569,trouvé,18065998,yyy trouvé,part,3,18065998,VERB,VERB/PARTICIPLE,
203,64685621,premièrement,17803937,premièrement il est un peu petit deuxièmement y a des trucs qui vont lui arracher les fesses euh si je le laisse comme ça enfin temps que je l'utilise pas,adv,0,17803937,ADV,ADV,
204,65424365,se,17972805,et après on a on a commencé à se dire mais euh on n' a pas de nouvelle,pro,3,17972805,PRON,PRON,
205,64903674,remélanger,17840235,et le pire c'est que mercredi comme il en restait un petit morceau il me disait ben hier je vais je vais remélanger je dis comme ça mélanger avec de de l'escalope de dinde,v,0,17840235,VERB,VERB,
206,65355438,ça,17970606,tu dois tu dois ranger ça,pro,4,17970606,PRON,?,
207,65262251,qu'à,17944354,tiens on a qu'à lui donner celui de Charlotte,prep,2,17944354,SCONJ,SCONJ_PREP,
208,65428516,moine,17983074,donc le moine venait dans la maison où les gens peuvent venir dormir,n,0,17983074,NOUN,NOUN,
209,64755109,lundi,17817794,lundi,n,2,17817794,NOUN,NOUN,
210,65652756,masque,18041970,mais tu sais c'est masque tu vois pas son masque,n,1,18041970,ADJ,NOUN,
211,65183879,disaient,17924150,comme ils étaient à chaque fois qu'ils faisaient un chat ils disaient oh moi aussi je voudrais voudrais bien marcher,v,0,17924150,VERB,VERB,
212,65092789,Léonard,17908506,attends Léonard,n,3,17908506,PROPN,PROPN,
213,64699182,cours,17785933,donc j'ai fait cours oui pour le d u,prep,0,17785933,DET,NOUN,
214,65111615,cassé,17906750,j'en veux pas quand c'est cassé,part,3,17906750,ADJ,VERB/PARTICIPLE,LABEL MISMATCHING : PART vs ADJ 
215,65117721,dit,17904092,on a dit de faire attention au sapin hein,part,4,17904092,VERB,VERB/PARTICIPLE,LABEL MISMATCHING : PART vs VERB 
216,64728995,qu'on,17804348,tu sais pas ce qu'on fait dans un moulin,pro,3,17804348,SCONJ,SCONJ/PREP_PREP,LABEL MISMATCHING : PRO vs CONJ 
217,64821209,moche,17812975,ben non c'est pas moche,adj,1,17812975,ADJ,ADJ,
218,65489728,va,18003073,ça te va Théophile,v,4,18003073,VERB,VERB,
219,65498465,gagné,18005223,gagné,part,2,18005223,NOUN,ADJ/PARTICIPLE,
220,65189217,comme,17923389,oui oui ben et si tu me laisses passer comme ça je pourrais lui dire,adv,4,17923389,ADP,ADV/ADP/SCONJ,
221,65483477,demain,17993854,et oui c'est pour Harousia demain ça,n,3,17993854,ADV,ADV,
222,65212375,t'en,17924948,tu te souviens t'en faisais à la crèche,pro,2,17924948,ADP,PRON_PRON,
223,64707371,à-côté,17789006,il va à-côté de son frère,adv,2,17789006,ADP,?,
224,65042765,bien,17883365,et Charly il avait dit à Ulysse qu'il voulait bien venir jouer avec toi et que il il construirait aussi un zoo,adj,3,17883365,ADV,ADV,
225,64613345,comme,17771950,c'est quoi ça comme animal,prep,3,17771950,ADP,ADV/ADP,
226,64625033,dans,17777723,y en pas dans la poussette,prep,4,17777723,ADP,PREP/ADP,
227,65096129,cassé,17901115,il a cassé il il a cassé ça,part,3,17901115,VERB,VERB/PARTICIPLE,
228,65177194,petit,17913613,mais il marche un petit peu,adj,4,17913613,ADJ,ADJ,
229,64617707,que,17779851,qu'est-ce que c'est,adv,4,17779851,SCONJ,SCONJ,
230,64995529,fou,17875700,de jouer le fou,n,2,17875700,NOUN,NOUN,
